Designator,Mid X,Mid Y,Rotation,Layer
J1,157.835,-49.515,90.0,bottom
J10,193.085,-53.595,0.0,top
J11,235.89,-72.795,90.0,bottom
J12,232.125,-53.575,0.0,top
J13,158.16,-96.53,90.0,bottom
J14,154.215,-77.25,0.0,top
J15,197.01,-96.56,90.0,bottom
J16,193.145,-77.22,0.0,top
J17,235.965,-96.45,90.0,bottom
J18,232.43,-77.13,0.0,top
J19,178.12,-120.79,90.0,bottom
J2,154.32,-30.045,0.0,top
J20,174.725,-101.49,0.0,top
J21,221.17,-120.39,90.0,bottom
J22,217.305,-101.02,0.0,top
J3,196.83,-49.02,90.0,bottom
J4,192.9,-29.885,0.0,top
J5,235.835,-48.775,90.0,bottom
J6,231.905,-29.515,0.0,top
J7,157.505,-72.665,90.0,bottom
J8,154.185,-53.665,0.0,top
J9,196.945,-73.005,90.0,bottom
